"id","card_id_all","pack_code","card_id_pack","name","name_english","card_category","card_class","rarity"
"1","1","A1common","1","フシギダネ","","1","","1"
"2","2","A1common","2","フシギソウ","","1","","1"
"3","3","A1common","3","フシギバナ","","1","","1"
"4","4","A1common","4","フシギバナex","","1","","1"
"5","5","A1common","5","キャタピー","","1","","1"
"6","6","A1common","6","トランセル","","1","","1"
"7","7","A1common","7","バタフリー","","1","","1"
"8","8","A1common","8","ビードル","","1","","1"
"9","9","A1common","9","コクーン","","1","","1"
"10","10","A1common","10","スピアー","","1","","1"
"11","11","A1common","11","ナゾノクサ","","1","","1"
"12","12","A1common","12","クサイハナ","","1","","1"
"13","13","A1common","13","ラフレシア","","1","","1"
"14","14","A1common","14","パラス","","1","","1"
"15","15","A1common","15","パラセクト","","1","","1"
"16","16","A1common","16","コンパン","","1","","1"
"17","17","A1common","17","モルフォン","","1","","1"
"18","18","A1common","18","マダツボミ","","1","","1"
"19","19","A1common","19","ウツドン","","1","","1"
"20","20","A1common","20","ウツボット","","1","","1"
"21","21","A1common","21","タマタマ","","1","","1"
"22","22","A1common","22","ナッシー","","1","","1"
"23","23","A1common","23","ナッシーex","","1","","1"
"24","24","A1common","24","モンジャラ","","1","","1"
"25","25","A1common","25","ストライク","","1","","1"
"26","26","A1common","26","カイロス","","1","","1"
"27","27","A1common","27","モンメン","","1","","1"
"28","28","A1common","28","エルフーン","","1","","1"
"29","29","A1common","29","チュリネ","","1","","1"
"30","30","A1common","30","ドレディア","","1","","1"
"31","31","A1common","31","メェークル","","1","","1"
"32","32","A1common","32","ゴーゴート","","1","","1"
"33","33","A1common","33","ヒトカゲ","","1","","1"
"34","34","A1common","34","リザード","","1","","1"
"35","35","A1common","35","リザードン","","1","","1"
"36","36","A1common","36","リザードンex","","1","","1"
"37","37","A1common","37","ロコン","","1","","1"
"38","38","A1common","38","キュウコン","","1","","1"
"39","39","A1common","39","ガーディ","","1","","1"
"40","40","A1common","40","ウインディ","","1","","1"
"41","41","A1common","41","ウインディex","","1","","1"
"42","42","A1common","42","ポニータ","","1","","1"
"43","43","A1common","43","ギャロップ","","1","","1"
"44","44","A1common","44","ブーバー","","1","","1"
"45","45","A1common","45","ブースター","","1","","1"
"46","46","A1common","46","ファイヤー","","1","","1"
"47","47","A1common","47","ファイヤーex","","1","","1"
"48","48","A1common","48","クイタラン","","1","","1"
"49","49","A1common","49","ヤトウモリ","","1","","1"
"50","50","A1common","50","エンニュート","","1","","1"
"51","51","A1common","51","ヤクデ","","1","","1"
"52","52","A1common","52","マルヤクデ","","1","","1"
"53","53","A1common","53","ゼニガメ","","1","","1"
"54","54","A1common","54","カメール","","1","","1"
"55","55","A1common","55","カメックス","","1","","1"
"56","56","A1common","56","カメックスex","","1","","1"
"57","57","A1common","57","コダック","","1","","1"
"58","58","A1common","58","ゴルダック","","1","","1"
"59","59","A1common","59","ニョロモ","","1","","1"
"60","60","A1common","60","ニョロゾ","","1","","1"
"61","61","A1common","61","ニョロボン","","1","","1"
"62","62","A1common","62","メノクラゲ","","1","","1"
"63","63","A1common","63","ドククラゲ","","1","","1"
"64","64","A1common","64","パウワウ","","1","","1"
"65","65","A1common","65","ジュゴン","","1","","1"
"66","66","A1common","66","シェルダー","","1","","1"
"67","67","A1common","67","パルシェン","","1","","1"
"68","68","A1common","68","クラブ","","1","","1"
"69","69","A1common","69","キングラー","","1","","1"
"70","70","A1common","70","タッツー","","1","","1"
"71","71","A1common","71","シードラ","","1","","1"
"72","72","A1common","72","トサキント","","1","","1"
"73","73","A1common","73","アズマオウ","","1","","1"
"74","74","A1common","74","ヒトデマン","","1","","1"
"75","75","A1common","75","スターミー","","1","","1"
"76","76","A1common","76","スターミーex","","1","","1"
"77","77","A1common","77","コイキング","","1","","1"
"78","78","A1common","78","ギャラドス","","1","","1"
"79","79","A1common","79","ラプラス","","1","","1"
"80","80","A1common","80","シャワーズ","","1","","1"
"81","81","A1common","81","オムナイト","","1","","1"
"82","82","A1common","82","オムスター","","1","","1"
"83","83","A1common","83","フリーザー","","1","","1"
"84","84","A1common","84","フリーザーex","","1","","1"
"85","85","A1common","85","コアルヒー","","1","","1"
"86","86","A1common","86","スワンナ","","1","","1"
"87","87","A1common","87","ケロマツ","","1","","1"
"88","88","A1common","88","ゲコガシラ","","1","","1"
"89","89","A1common","89","ゲッコウガ","","1","","1"
"90","90","A1common","90","ナマコブシ","","1","","1"
"91","91","A1common","91","ハギギシリ","","1","","1"
"92","92","A1common","92","ユキハミ","","1","","1"
"93","93","A1common","93","モスノウ","","1","","1"
"94","94","A1common","94","ピカチュウ","","1","","1"
"95","95","A1common","95","ライチュウ","","1","","1"
"96","96","A1common","96","ピカチュウex","","1","","1"
"97","97","A1common","97","コイル","","1","","1"
"98","98","A1common","98","レアコイル","","1","","1"
"99","99","A1common","99","ビリリダマ","","1","","1"
"100","100","A1common","100","マルマイン","","1","","1"
"101","101","A1common","101","エレブー","","1","","1"
"102","102","A1common","102","サンダース","","1","","1"
"103","103","A1common","103","サンダー","","1","","1"
"104","104","A1common","104","サンダーex","","1","","1"
"105","105","A1common","105","シママ","","1","","1"
"106","106","A1common","106","ゼブライカ","","1","","1"
"107","107","A1common","107","シビシラス","","1","","1"
"108","108","A1common","108","シビビール","","1","","1"
"109","109","A1common","109","シビルドン","","1","","1"
"110","110","A1common","110","エリキテル","","1","","1"
"111","111","A1common","111","エレザード","","1","","1"
"112","112","A1common","112","バチンウニ","","1","","1"
"113","113","A1common","113","ピッピ","","1","","1"
"114","114","A1common","114","ピクシー","","1","","1"
"115","115","A1common","115","ケーシィ","","1","","1"
"116","116","A1common","116","ユンゲラー","","1","","1"
"117","117","A1common","117","フーディン","","1","","1"
"118","118","A1common","118","ヤドン","","1","","1"
"119","119","A1common","119","ヤドラン","","1","","1"
"120","120","A1common","120","ゴース","","1","","1"
"121","121","A1common","121","ゴースト","","1","","1"
"122","122","A1common","122","ゲンガー","","1","","1"
"123","123","A1common","123","ゲンガーex","","1","","1"
"124","124","A1common","124","スリープ","","1","","1"
"125","125","A1common","125","スリーパー","","1","","1"
"126","126","A1common","126","バリヤード","","1","","1"
"127","127","A1common","127","ルージュラ","","1","","1"
"128","128","A1common","128","ミュウツー","","1","","1"
"129","129","A1common","129","ミュウツーex","","1","","1"
"130","130","A1common","130","ラルトス","","1","","1"
"131","131","A1common","131","キルリア","","1","","1"
"132","132","A1common","132","サーナイト","","1","","1"
"133","133","A1common","133","コロモリ","","1","","1"
"134","134","A1common","134","ココロモリ","","1","","1"
"135","135","A1common","135","ゴビット","","1","","1"
"136","136","A1common","136","ゴルーグ","","1","","1"
"137","137","A1common","137","サンド","","1","","1"
"138","138","A1common","138","サンドパン","","1","","1"
"139","139","A1common","139","ディグダ","","1","","1"
"140","140","A1common","140","ダグトリオ","","1","","1"
"141","141","A1common","141","マンキー","","1","","1"
"142","142","A1common","142","オコリザル","","1","","1"
"143","143","A1common","143","ワンリキー","","1","","1"
"144","144","A1common","144","ゴーリキー","","1","","1"
"145","145","A1common","145","カイリキー","","1","","1"
"146","146","A1common","146","カイリキーex","","1","","1"
"147","147","A1common","147","イシツブテ","","1","","1"
"148","148","A1common","148","ゴローン","","1","","1"
"149","149","A1common","149","ゴローニャ","","1","","1"
"150","150","A1common","150","イワーク","","1","","1"
"151","151","A1common","151","カラカラ","","1","","1"
"152","152","A1common","152","ガラガラ","","1","","1"
"153","153","A1common","153","ガラガラex","","1","","1"
"154","154","A1common","154","サワムラー","","1","","1"
"155","155","A1common","155","エビワラー","","1","","1"
"156","156","A1common","156","サイホーン","","1","","1"
"157","157","A1common","157","サイドン","","1","","1"
"158","158","A1common","158","カブト","","1","","1"
"159","159","A1common","159","カブトプス","","1","","1"
"160","160","A1common","160","コジョフー","","1","","1"
"161","161","A1common","161","コジョンド","","1","","1"
"162","162","A1common","162","タタッコ","","1","","1"
"163","163","A1common","163","オトスパス","","1","","1"
"164","164","A1common","164","アーボ","","1","","1"
"165","165","A1common","165","アーボック","","1","","1"
"166","166","A1common","166","ニドラン♀","","1","","1"
"167","167","A1common","167","ニドリーナ","","1","","1"
"168","168","A1common","168","ニドクイン","","1","","1"
"169","169","A1common","169","ニドラン♂","","1","","1"
"170","170","A1common","170","ニドリーノ","","1","","1"
"171","171","A1common","171","ニドキング","","1","","1"
"172","172","A1common","172","ズバット","","1","","1"
"173","173","A1common","173","ゴルバット","","1","","1"
"174","174","A1common","174","ベトベター","","1","","1"
"175","175","A1common","175","ベトベトン","","1","","1"
"176","176","A1common","176","ドガース","","1","","1"
"177","177","A1common","177","マタドガス","","1","","1"
"178","178","A1common","178","クチート","","1","","1"
"179","179","A1common","179","コマタナ","","1","","1"
"180","180","A1common","180","キリキザン","","1","","1"
"181","181","A1common","181","メルタン","","1","","1"
"182","182","A1common","182","メルメタル","","1","","1"
"183","183","A1common","183","ミニリュウ","","1","","1"
"184","184","A1common","184","ハクリュー","","1","","1"
"185","185","A1common","185","カイリュー","","1","","1"
"186","186","A1common","186","ポッポ","","1","","1"
"187","187","A1common","187","ピジョン","","1","","1"
"188","188","A1common","188","ピジョット","","1","","1"
"189","189","A1common","189","コラッタ","","1","","1"
"190","190","A1common","190","ラッタ","","1","","1"
"191","191","A1common","191","オニスズメ","","1","","1"
"192","192","A1common","192","オニドリル","","1","","1"
"193","193","A1common","193","プリン","","1","","1"
"194","194","A1common","194","プクリン","","1","","1"
"195","195","A1common","195","プクリンex","","1","","1"
"196","196","A1common","196","ニャース","","1","","1"
"197","197","A1common","197","ペルシアン","","1","","1"
"198","198","A1common","198","カモネギ","","1","","1"
"199","199","A1common","199","ドードー","","1","","1"
"200","200","A1common","200","ドードリオ","","1","","1"
"201","201","A1common","201","ベロリンガ","","1","","1"
"202","202","A1common","202","ラッキー","","1","","1"
"203","203","A1common","203","ガルーラ","","1","","1"
"204","204","A1common","204","ケンタロス","","1","","1"
"205","205","A1common","205","メタモン","","1","","1"
"206","206","A1common","206","イーブイ","","1","","1"
"207","207","A1common","207","イーブイ","","1","","1"
"208","208","A1common","208","イーブイ","","1","","1"
"209","209","A1common","209","ポリゴン","","1","","1"
"210","210","A1common","210","プテラ","","1","","1"
"211","211","A1common","211","カビゴン","","1","","1"
"212","212","A1common","212","チラーミィ","","1","","1"
"213","213","A1common","213","チラチーノ","","1","","1"
"214","214","A1common","214","ウールー","","1","","1"
"215","215","A1common","215","バイウールー","","1","","1"
"216","216","A1common","216","かいの化石","","2","6","1"
"217","217","A1common","217","こうらの化石","","2","6","1"
"218","218","A1common","218","ひみつのコハク","","2","6","1"
"219","219","A1common","219","エリカ","","2","4","1"
"220","220","A1common","220","カスミ","","2","4","1"
"221","221","A1common","221","カツラ","","2","4","1"
"222","222","A1common","222","キョウ","","2","4","1"
"223","223","A1common","223","サカキ","","2","4","1"
"224","224","A1common","224","タケシ","","2","4","1"
"225","225","A1common","225","ナツメ","","2","4","1"
"226","226","A1common","226","マチス","","2","4","1"
"227","227","A1common","227","フシギダネ","","1","","2"
"228","228","A1common","228","クサイハナ","","1","","2"
"229","229","A1common","229","カイロス","","1","","2"
"230","230","A1common","230","ヒトカゲ","","1","","2"
"231","231","A1common","231","ギャロップ","","1","","2"
"232","232","A1common","232","ゼニガメ","","1","","2"
"233","233","A1common","233","ギャラドス","","1","","2"
"234","234","A1common","234","ラプラス","","1","","2"
"235","235","A1common","235","マルマイン","","1","","2"
"236","236","A1common","236","フーディン","","1","","2"
"237","237","A1common","237","ヤドン","","1","","2"
"238","238","A1common","238","ディグダ","","1","","2"
"239","239","A1common","239","カラカラ","","1","","2"
"240","240","A1common","240","ニドクイン","","1","","2"
"241","241","A1common","241","ニドキング","","1","","2"
"242","242","A1common","242","ゴルバット","","1","","2"
"243","243","A1common","243","マタドガス","","1","","2"
"244","244","A1common","244","カイリュー","","1","","2"
"245","245","A1common","245","ピジョット","","1","","2"
"246","246","A1common","246","ニャース","","1","","2"
"247","247","A1common","247","メタモン","","1","","2"
"248","248","A1common","248","イーブイ","","1","","2"
"249","249","A1common","249","ポリゴン","","1","","2"
"250","250","A1common","250","カビゴン","","1","","2"
"251","251","A1common","251","フシギバナex","","1","","2"
"252","252","A1common","252","ナッシーex","","1","","2"
"253","253","A1common","253","リザードンex","","1","","2"
"254","254","A1common","254","ウインディex","","1","","2"
"255","255","A1common","255","ファイヤーex","","1","","2"
"256","256","A1common","256","カメックスex","","1","","2"
"257","257","A1common","257","スターミーex","","1","","2"
"258","258","A1common","258","フリーザーex","","1","","2"
"259","259","A1common","259","ピカチュウex","","1","","2"
"260","260","A1common","260","サンダーex","","1","","2"
"261","261","A1common","261","ゲンガーex","","1","","2"
"262","262","A1common","262","ミュウツーex","","1","","2"
"263","263","A1common","263","カイリキーex","","1","","2"
"264","264","A1common","264","ガラガラex","","1","","2"
"265","265","A1common","265","プクリンex","","1","","2"
"266","266","A1common","266","エリカ","","2","4","2"
"267","267","A1common","267","カスミ","","2","4","2"
"268","268","A1common","268","カツラ","","2","4","2"
"269","269","A1common","269","キョウ","","2","4","2"
"270","270","A1common","270","サカキ","","2","4","2"
"271","271","A1common","271","タケシ","","2","4","2"
"272","272","A1common","272","ナツメ","","2","4","2"
"273","273","A1common","273","マチス","","2","4","2"
"274","274","A1common","274","ファイヤーex","","1","","3"
"275","275","A1common","275","フリーザーex","","1","","3"
"276","276","A1common","276","サンダーex","","1","","3"
"277","277","A1common","277","ゲンガーex","","1","","3"
"278","278","A1common","278","カイリキーex","","1","","3"
"279","279","A1common","279","プクリンex","","1","","3"
"280","280","A1common","280","リザードンex","","1","","3"
"281","281","A1common","281","ピカチュウex","","1","","3"
"282","282","A1common","282","ミュウツーex","","1","","3"
"283","283","A1common","283","リザードンex","","1","","4"
"284","284","A1common","284","ピカチュウex","","1","","4"
"285","285","A1common","285","ミュウツーex","","1","","4"
"286","286","A1a","1","タマタマ","","1","","1"
"287","287","A1a","2","ナッシー","","1","","1"
"288","288","A1a","3","セレビィex","","1","","1"
"289","289","A1a","4","ツタージャ","","1","","1"
"290","290","A1a","5","ジャノビー","","1","","1"
"291","291","A1a","6","ジャローダ","","1","","1"
"292","292","A1a","7","ネマシュ","","1","","1"
"293","293","A1a","8","マシェード","","1","","1"
"294","294","A1a","9","ダダリン","","1","","1"
"295","295","A1a","10","ポニータ","","1","","1"
"296","296","A1a","11","ギャロップ","","1","","1"
"297","297","A1a","12","ブーバー","","1","","1"
"298","298","A1a","13","メラルバ","","1","","1"
"299","299","A1a","14","ウルガモス","","1","","1"
"300","300","A1a","15","ヤトウモリ","","1","","1"
"301","301","A1a","16","エンニュート","","1","","1"
"302","302","A1a","17","コイキング","","1","","1"
"303","303","A1a","18","ギャラドスex","","1","","1"
"304","304","A1a","19","シャワーズ","","1","","1"
"305","305","A1a","20","ケイコウオ","","1","","1"
"306","306","A1a","21","ネオラント","","1","","1"
"307","307","A1a","22","カムカメ","","1","","1"
"308","308","A1a","23","カジリガメ","","1","","1"
"309","309","A1a","24","ウッウ","","1","","1"
"310","310","A1a","25","ピカチュウ","","1","","1"
"311","311","A1a","26","ライチュウ","","1","","1"
"312","312","A1a","27","エレブー","","1","","1"
"313","313","A1a","28","バチュル","","1","","1"
"314","314","A1a","29","デンチュラ","","1","","1"
"315","315","A1a","30","デデンネ","","1","","1"
"316","316","A1a","31","ミュウ","","1","","1"
"317","317","A1a","32","ミュウex","","1","","1"
"318","318","A1a","33","シンボラー","","1","","1"
"319","319","A1a","34","リグレー","","1","","1"
"320","320","A1a","35","オーベム","","1","","1"
"321","321","A1a","36","フラベベ","","1","","1"
"322","322","A1a","37","フラエッテ","","1","","1"
"323","323","A1a","38","フラージェス","","1","","1"
"324","324","A1a","39","ペロッパフ","","1","","1"
"325","325","A1a","40","ペロリーム","","1","","1"
"326","326","A1a","41","マンキー","","1","","1"
"327","327","A1a","42","オコリザル","","1","","1"
"328","328","A1a","43","イシツブテ","","1","","1"
"329","329","A1a","44","ゴローン","","1","","1"
"330","330","A1a","45","ゴローニャ","","1","","1"
"331","331","A1a","46","プテラex","","1","","1"
"332","332","A1a","47","マーシャドー","","1","","1"
"333","333","A1a","48","イシヘンジン","","1","","1"
"334","334","A1a","49","ドガース","","1","","1"
"335","335","A1a","50","マタドガス","","1","","1"
"336","336","A1a","51","チョロネコ","","1","","1"
"337","337","A1a","52","レパルダス","","1","","1"
"338","338","A1a","53","フシデ","","1","","1"
"339","339","A1a","54","ホイーガ","","1","","1"
"340","340","A1a","55","ペンドラー","","1","","1"
"341","341","A1a","56","クリムガン","","1","","1"
"342","342","A1a","57","ポッポ","","1","","1"
"343","343","A1a","58","ピジョン","","1","","1"
"344","344","A1a","59","ピジョットex","","1","","1"
"345","345","A1a","60","ケンタロス","","1","","1"
"346","346","A1a","61","イーブイ","","1","","1"
"347","347","A1a","62","ペラップ","","1","","1"
"348","348","A1a","63","ひみつのコハク","","2","6","1"
"349","349","A1a","64","ポケモンの笛","","2","5","1"
"350","350","A1a","65","幻の石板","","2","5","1"
"351","351","A1a","66","かけだし調査員","","2","4","1"
"352","352","A1a","67","グリーン","","2","4","1"
"353","353","A1a","68","リーフ","","2","4","1"
"354","354","A1a","69","ナッシー","","1","","2"
"355","355","A1a","70","ジャローダ","","1","","2"
"356","356","A1a","71","ヤトウモリ","","1","","2"
"357","357","A1a","72","シャワーズ","","1","","2"
"358","358","A1a","73","デデンネ","","1","","2"
"359","359","A1a","74","マーシャドー","","1","","2"
"360","360","A1a","75","セレビィex","","1","","2"
"361","361","A1a","76","ギャラドスex","","1","","2"
"362","362","A1a","77","ミュウex","","1","","2"
"363","363","A1a","78","プテラex","","1","","2"
"364","364","A1a","79","ピジョットex","","1","","2"
"365","365","A1a","80","かけだし調査員","","2","4","2"
"366","366","A1a","81","グリーン","","2","4","2"
